DateTime	ResolutionCode	AreaCode	AreaTypeCode	AreaName	MapCode	TotalLoadValue	UpdateTime
2014-12-04 07:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	12499.47	2017-09-14 04:18:49.049
2014-12-04 08:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	12648.91	2017-09-14 04:18:49.049
2014-12-04 09:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	12681.15	2017-09-14 04:18:49.049
2014-12-04 10:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	12803.40	2017-09-14 04:18:49.049
2014-12-04 11:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	12494.44	2017-09-14 04:18:49.049
2014-12-04 12:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	12524.52	2017-09-14 04:18:49.049
2014-12-04 13:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	12419.40	2017-09-14 04:18:49.049
2014-12-04 14:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	12399.49	2017-09-14 04:18:49.049
2014-12-04 15:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	12508.02	2017-09-14 04:18:49.049
2014-12-04 16:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	13354.63	2017-09-14 04:18:49.049
2014-12-04 17:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	13217.83	2017-09-14 04:18:49.049
2014-12-04 18:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	12665.99	2017-09-14 04:18:49.049
2014-12-04 19:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	12039.96	2017-09-14 04:18:49.049
2014-12-04 20:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	11513.33	2017-09-14 04:18:49.049
2014-12-04 21:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	11653.20	2017-09-14 04:18:49.049
2014-12-04 22:30:00.000	PT15M	10YBE----------2	CTY	BE CTY	BE	11270.69	2017-09-14 04:18:49.049
